municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Palhoca,101,229.4,Colisão Transversal,Desobediência À Sinalização,Cruzamento,Simples,Pleno Dia,Nublado,2,3,1,0,0,0,2,0
Palhoca,101,230,Atropelamento De Pessoa,Falta De Atenção,Reta,Duplicada,Plena Noite,Ceu Claro,1,4,0,2,1,1,2,0
Palhoca,101,234,Colisão Traseira,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,4,1,0,0,0,2,1
Palhoca,101,235,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Chuva,2,5,0,3,1,2,2,0
Palhoca,101,235.1,Colisão Frontal,Falta De Atenção,Curva,Simples,Plena Noite,Ceu Claro,2,4,1,1,1,0,2,0
Palhoca,101,236.3,Colisão Transversal,Outras,Reta,Simples,Plena Noite,Ceu Claro,3,9,1,6,3,3,2,0
Palhoca,101,240.8,Tombamento,Outras,Curva,Simples,Plena Noite,Chuva,3,4,1,1,1,0,2,0
Palmares,101,183.8,Atropelamento De Pessoa,Outras,Reta,Simples,Anoitecer,Nublado,1,3,0,0,0,0,2,1
Palmares,101,186,Colisão Frontal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,3,1,0,0,0,2,0
Palmares,101,187,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,2,3,1,0,0,0,2,0
Palmares,101,198.6,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Nublado,2,3,1,0,0,0,2,0
Palmares,101,1817,Saída De Leito Carroçável,Velocidade Incompatível,Curva,Simples,Pleno Dia,Céu Claro,1,4,0,1,1,0,2,1
Palmares,101,1932,Colisão Frontal,Defeito Na Via,Reta,Simples,Plena Noite,Ignorada,2,2,0,0,0,0,2,0
Palmeira,277,169.9,Colisão Frontal,Falta De Atenção,Reta,Duplicada,Plena Noite,Ceu Claro,2,4,1,1,0,1,2,0
